month,FTSE,EqualWeight,MinVariance
2021-08-01,0.01235182332212907,0.001984074488800454,-6.156458177957214e-4
2021-09-01,-0.00468817673141496,-0.001385612714538683,-0.01653200393220795
2021-10-01,0.02111223281630156,0.008530502928218336,0.01434660505135177
2021-11-01,-0.02491544575485708,-0.019814990901462923,-0.016216877104050387
2021-12-01,0.04500898141678518,0.04760975714738509,0.050516688167325755
2022-01-01,0.01076183071001776,0.06371982410377292,0.017362895588277368
2022-02-01,-8.175595724348449e-4,0.004281990045395988,-0.011146570131429325
2022-03-01,0.00766671187173199,0.03805983776948386,0.04328347244923938
2022-04-01,0.00383789662289013,0.02071644391950723,0.021879336150995844
2022-05-01,0.00832882944553333,0.01428871446345377,-0.01426154192576734
2022-06-01,-0.05935292436911942,-0.0407471771462219,-0.025032597233704587
