symbol,month,return
BATS.L,2016-12-01,0.05059307463330534
BP.L,2016-12-01,0.10359610797499855
DGE.L,2016-12-01,0.05104356656421959
GSK.L,2016-12-01,0.04350655742835608
HSBA.L,2016-12-01,0.03359221075446632
LSEG.L,2016-12-01,0.05865324831968292
NG.L,2016-12-01,0.04118982099151001
RIO.L,2016-12-01,0.05482374845858347
SHEL.L,2016-12-01,0.10152793479905525
ULVR.L,2016-12-01,0.029747208802110597
VOD.L,2016-12-01,0.030224497812289978
^FTSE,2016-12-01,0.0515674408649313
AZN.L,2017-01-01,-0.056436627511628895
BATS.L,2017-01-01,0.05841399247330582
BP.L,2017-01-01,-0.07484795472775005
DGE.L,2017-01-01,0.043359234685027975
GSK.L,2017-01-01,-0.02200727903562065
HSBA.L,2017-01-01,0.029252963334367176
LSEG.L,2017-01-01,0.08452012532838583
NG.L,2017-01-01,-0.025436400749395103
RIO.L,2017-01-01,0.10009124556073316
SHEL.L,2017-01-01,-0.043286830992261056
ULVR.L,2017-01-01,-0.019939411594947797
VOD.L,2017-01-01,-0.027906507598373483
^FTSE,2017-01-01,-0.006122699842453058
AZN.L,2017-02-01,0.10224243559460194
BATS.L,2017-02-01,0.036178491307878986
BP.L,2017-02-01,-0.041494179305023735
DGE.L,2017-02-01,0.028954924083408613
GSK.L,2017-02-01,0.07577518098527469
HSBA.L,2017-02-01,-0.04496668644510434
LSEG.L,2017-02-01,-0.029766860302884914
NG.L,2017-02-01,0.052289877186625214
RIO.L,2017-02-01,-0.05689659328601173
SHEL.L,2017-02-01,-0.03199882876912267
ULVR.L,2017-02-01,0.16836805370181268
VOD.L,2017-02-01,0.03811183466862932
^FTSE,2017-02-01,0.022865896169166396
AZN.L,2017-03-01,0.05620683059717333
BATS.L,2017-03-01,0.042623083534232484
BP.L,2017-03-01,0.008780446785172903
DGE.L,2017-03-01,0.006810903475710055
GSK.L,2017-03-01,0.006954124084805337
HSBA.L,2017-03-01,0.0067833731280149
LSEG.L,2017-03-01,0.02976686030288489
NG.L,2017-03-01,0.03616658719729579
RIO.L,2017-03-01,-0.026897722411894195
SHEL.L,2017-03-01,0.007903599646050297
ULVR.L,2017-03-01,0.031064847058527235
VOD.L,2017-03-01,0.0302463222240009
^FTSE,2017-03-01,0.008158385720756679
AZN.L,2017-04-01,-0.057607625523858494
BATS.L,2017-04-01,-0.016167708022456366
BP.L,2017-04-01,-0.03344535615341504
DGE.L,2017-04-01,-0.016335963475112143
GSK.L,2017-04-01,-0.06826149260556715
HSBA.L,2017-04-01,-0.022371769706760962
LSEG.L,2017-04-01,0.0647159171164635
NG.L,2017-04-01,-0.013409570738843317
RIO.L,2017-04-01,-0.04704687084877479
SHEL.L,2017-04-01,-0.045634823233694416
ULVR.L,2017-04-01,0.00821581263276406
VOD.L,2017-04-01,-0.044462640240215505
^FTSE,2017-04-01,-0.016383878560117315
AZN.L,2017-05-01,0.12100044982877409
BATS.L,2017-05-01,0.05864880876015275
BP.L,2017-05-01,0.05341451509724919
DGE.L,2017-05-01,0.035206687991496316
GSK.L,2017-05-01,0.09457525244752131
HSBA.L,2017-05-01,0.059732557292142274
LSEG.L,2017-05-01,0.012431807425612907
NG.L,2017-05-01,-6.17338270347425e-4
RIO.L,2017-05-01,0.013140046038428605
SHEL.L,2017-05-01,0.04771031124037813
ULVR.L,2017-05-01,0.08672330371692766
VOD.L,2017-05-01,0.15102391436244325
^FTSE,2017-05-01,0.0429436054775323
AZN.L,2017-06-01,-0.01909602369505983
BATS.L,2017-06-01,-0.05501238675162133
BP.L,2017-06-01,-0.05256867620675941
DGE.L,2017-06-01,-0.02546134891854612
GSK.L,2017-06-01,-0.040736421671235507
HSBA.L,2017-06-01,0.052055212661617174
LSEG.L,2017-06-01,0.06252925434793466
NG.L,2017-06-01,-0.13487366941536377
RIO.L,2017-06-01,0.04398219045801985
SHEL.L,2017-06-01,-0.03144111345895135
ULVR.L,2017-06-01,-0.04160125247269908
VOD.L,2017-06-01,-0.060841404772323984
^FTSE,2017-06-01,-0.027953548641768442
AZN.L,2017-07-01,-0.11678543985209335
BATS.L,2017-07-01,-0.10474502530059229
BP.L,2017-07-01,0.0067522202104830726
DGE.L,2017-07-01,0.07635698965718028
GSK.L,2017-07-01,-0.07686341205127366
HSBA.L,2017-07-01,0.06170701130007909
LSEG.L,2017-07-01,0.027591789375914586
NG.L,2017-07-01,-0.01588501072551889
RIO.L,2017-07-01,0.08227049742371408
SHEL.L,2017-07-01,0.04703350435786777
ULVR.L,2017-07-01,0.039289936011425886
VOD.L,2017-07-01,0.01932974201395946
^FTSE,2017-07-01,0.008076450487596847
AZN.L,2017-08-01,-0.005994343564345372
BATS.L,2017-08-01,0.024737607164575123
BP.L,2017-08-01,-0.0012962234738141283
DGE.L,2017-08-01,0.05710606986647852
GSK.L,2017-08-01,0.012623797984952266
HSBA.L,2017-08-01,-0.00852449671078052
LSEG.L,2017-08-01,0.05252946599482322
NG.L,2017-08-01,0.0396599005897675
RIO.L,2017-08-01,0.06259205996456832
SHEL.L,2017-08-01,-0.0026526462781394046
ULVR.L,2017-08-01,0.044766088586805274
VOD.L,2017-08-01,-0.002706519700977631
^FTSE,2017-08-01,0.007917582505342372
AZN.L,2017-09-01,0.08725010382360747
BATS.L,2017-09-01,-0.033466387835814314
BP.L,2017-09-01,0.06973373373920247
DGE.L,2017-09-01,-0.055118084474501755
GSK.L,2017-09-01,-0.029783851411479458
HSBA.L,2017-09-01,-0.01801609697198094
LSEG.L,2017-09-01,-0.030850796719531833
NG.L,2017-09-01,-0.05276848088624454
RIO.L,2017-09-01,-0.07580343742513476
SHEL.L,2017-09-01,0.055550563347413935
ULVR.L,2017-09-01,-0.045266716395968645
VOD.L,2017-09-01,-0.05859394617648356
^FTSE,2017-09-01,-0.007809096164547087
AZN.L,2017-10-01,0.015420190119775195
BATS.L,2017-10-01,0.04171217055133176
BP.L,2017-10-01,0.06665763070507903
DGE.L,2017-10-01,0.04737210942404682
GSK.L,2017-10-01,-0.09212418590518147
HSBA.L,2017-10-01,-0.003705094885130221
LSEG.L,2017-10-01,-0.018179933136815422
NG.L,2017-10-01,-0.020321948702614206
RIO.L,2017-10-01,0.021506313602323242
SHEL.L,2017-10-01,0.05072626392061268
ULVR.L,2017-10-01,-0.011527207073581222
VOD.L,2017-10-01,0.032047828267960946
^FTSE,2017-10-01,0.01618508396697428
AZN.L,2017-11-01,-0.052004810252798954
BATS.L,2017-11-01,-0.038080161149470264
BP.L,2017-11-01,-0.042093728009069936
DGE.L,2017-11-01,-0.0013615216572391774
GSK.L,2017-11-01,-0.05900214588478422
HSBA.L,2017-11-01,-4.087220813568917e-4
LSEG.L,2017-11-01,0.004774477083965369
NG.L,2017-11-01,-0.023291960137781228
RIO.L,2017-11-01,-0.013333630784793512
SHEL.L,2017-11-01,-0.003241875691697148
ULVR.L,2017-11-01,-0.024941404891415844
VOD.L,2017-11-01,0.039744929147196774
^FTSE,2017-11-01,-0.022457373570157767
AZN.L,2017-12-01,0.06953711324853074
BATS.L,2017-12-01,0.06789955301917283
BP.L,2017-12-01,0.06644074645759601
DGE.L,2017-12-01,0.05914620964939838
GSK.L,2017-12-01,0.033054262125909735
HSBA.L,2017-12-01,0.043847491026755246
LSEG.L,2017-12-01,0.003697800371838594
NG.L,2017-12-01,-0.011249496199142913
RIO.L,2017-12-01,0.11849683106610683
SHEL.L,2017-12-01,0.050656770798013444
ULVR.L,2017-12-01,-0.009289081145240652
VOD.L,2017-12-01,0.04660123643315523
^FTSE,2017-12-01,0.04810939481074708
AZN.L,2018-01-01,-0.04687357044262857
BATS.L,2018-01-01,-0.040465336901892496
BP.L,2018-01-01,-0.04220217442560483
DGE.L,2018-01-01,-0.07326171221743469
GSK.L,2018-01-01,-0.0015890314333779517
HSBA.L,2018-01-01,-0.02081789272527993
LSEG.L,2018-01-01,0.034718438765794224
NG.L,2018-01-01,-0.08386855620562089
RIO.L,2018-01-01,-0.0050863924334611016
SHEL.L,2018-01-01,-0.0070813876737503886
ULVR.L,2018-01-01,-0.030892702439664035
VOD.L,2018-01-01,-0.04526439527394318
^FTSE,2018-01-01,-0.020261603179458954
AZN.L,2018-02-01,-0.022805731562330112
BATS.L,2018-02-01,-0.11499819785901245
BP.L,2018-02-01,-0.05302411521750276
DGE.L,2018-02-01,-0.028945606135341372
GSK.L,2018-02-01,-0.00983160868402079
HSBA.L,2018-02-01,-0.04612585193071862
LSEG.L,2018-02-01,0.025394295152743513
NG.L,2018-02-01,-0.08354906817303581
RIO.L,2018-02-01,0.0010194128889751632
SHEL.L,2018-02-01,-0.0676846490032698
ULVR.L,2018-02-01,-0.06886080956302368
VOD.L,2018-02-01,-0.09742742122215058
^FTSE,2018-02-01,-0.040871246119369244
AZN.L,2018-03-01,0.024922526131905424
BATS.L,2018-03-01,-0.03892266415877965
BP.L,2018-03-01,0.0085918796204791
DGE.L,2018-03-01,-0.019705221971866922
GSK.L,2018-03-01,0.0642898146517566
HSBA.L,2018-03-01,-0.07482688787637025
LSEG.L,2018-03-01,0.02403855121917643
NG.L,2018-03-01,0.08043767202836359
RIO.L,2018-03-01,-0.08330681923037943
SHEL.L,2018-03-01,-0.02977404205692123
ULVR.L,2018-03-01,0.057760902610547095
VOD.L,2018-03-01,-0.047902295319028385
^FTSE,2018-03-01,-0.024538419115203877
AZN.L,2018-04-01,0.04151207222418264
BATS.L,2018-04-01,-0.032475203921908065
BP.L,2018-04-01,0.11563600754603293
DGE.L,2018-04-01,0.07081567304422441
GSK.L,2018-04-01,0.04721758370890791
HSBA.L,2018-04-01,0.08633496929127099
LSEG.L,2018-04-01,0.0413065045814671
NG.L,2018-04-01,0.04937145326955595
RIO.L,2018-04-01,0.08871769909236894
SHEL.L,2018-04-01,0.12504463314445116
ULVR.L,2018-04-01,0.03037682938711619
VOD.L,2018-04-01,0.08570620861002932
^FTSE,2018-04-01,0.06217886342589695
AZN.L,2018-05-01,0.0687188680898143
BATS.L,2018-05-01,-0.03304823178547188
BP.L,2018-05-01,0.06890000498548841
DGE.L,2018-05-01,0.064864113741536375
GSK.L,2018-05-01,0.04210273797953152
HSBA.L,2018-05-01,-0.006536827600148671
LSEG.L,2018-05-01,0.04042329917766379
NG.L,2018-05-01,-0.011015677843504266
RIO.L,2018-05-01,0.07186087133296885
SHEL.L,2018-05-01,0.02971933325201649
ULVR.L,2018-05-01,0.016868586988925877
VOD.L,2018-05-01,-0.09814040522209444
^FTSE,2018-05-01,0.02224294375894448
AZN.L,2018-06-01,-0.03974799521691591
BATS.L,2018-06-01,-0.010002238885234896
BP.L,2018-06-01,0.003464288955246368
DGE.L,2018-06-01,-0.014769145698037233
GSK.L,2018-06-01,0.0037987302684197315
HSBA.L,2018-06-01,-0.013833682697739632
LSEG.L,2018-06-01,-0.0013410398425859932
NG.L,2018-06-01,0.006101546289853182
RIO.L,2018-06-01,-0.009240715254810692
SHEL.L,2018-06-01,0.008403272409612425
ULVR.L,2018-06-01,0.010913695032841706
VOD.L,2018-06-01,-0.04213744695687006
^FTSE,2018-06-01,-0.0053934212405635324
AZN.L,2018-07-01,0.11020316847641708
BATS.L,2018-07-01,0.09245811231279237
BP.L,2018-07-01,-0.008683436196368374
DGE.L,2018-07-01,0.028966502118619248
GSK.L,2018-07-01,0.03330007994840563
HSBA.L,2018-07-01,0.027478602929361474
LSEG.L,2018-07-01,-0.016689818528969187
NG.L,2018-07-01,-0.030395509552725516
RIO.L,2018-07-01,-0.001071499961295967
SHEL.L,2018-07-01,-0.005339471141621402
ULVR.L,2018-07-01,0.0381464935671965
VOD.L,2018-07-01,0.011789456448006072
^FTSE,2018-07-01,0.01454621857513028
AZN.L,2018-08-01,-0.011892805803558277
BATS.L,2018-08-01,-0.12119582169071852
BP.L,2018-08-01,-0.0462747086291267
DGE.L,2018-08-01,-0.0389782766493187
GSK.L,2018-08-01,-0.013348614339191938
HSBA.L,2018-08-01,-0.08798656859791365
LSEG.L,2018-08-01,0.05037628553151284
NG.L,2018-08-01,-0.004065634493696693
RIO.L,2018-08-01,-0.1368162023380147
SHEL.L,2018-08-01,-0.04423317683668753
ULVR.L,2018-08-01,0.0085431831651108
VOD.L,2018-08-01,-0.12283616290083932
^FTSE,2018-08-01,-0.04168915922411107
AZN.L,2018-09-01,0.02857813843947929
BATS.L,2018-09-01,-0.03750810664815222
BP.L,2018-09-01,0.07393886511402985
DGE.L,2018-09-01,0.009051690241436115
GSK.L,2018-09-01,-0.015240075140838055
HSBA.L,2018-09-01,0.0013447812135456562
LSEG.L,2018-09-01,-0.008251971638606899
NG.L,2018-09-01,-0.023230949532981618
RIO.L,2018-09-01,0.058645305963761316
SHEL.L,2018-09-01,0.05256143002135652
ULVR.L,2018-09-01,-0.040898217713240294
VOD.L,2018-09-01,0
^FTSE,2018-09-01,0.010413314348993029
AZN.L,2018-10-01,0.004517843256439873
BATS.L,2018-10-01,-0.05462035918182131
BP.L,2018-10-01,-0.03804726196187503
DGE.L,2018-10-01,-0.003868996637430401
GSK.L,2018-10-01,-0.01679792222824409
HSBA.L,2018-10-01,-0.037764773737238216
LSEG.L,2018-10-01,-0.06091064337220708
NG.L,2018-10-01,0.046658045329141515
RIO.L,2018-10-01,-0.019913376592794463
SHEL.L,2018-10-01,-0.052961670445154874
ULVR.L,2018-10-01,-0.016622131400256743
VOD.L,2018-10-01,-0.10691497904020594
^FTSE,2018-10-01,-0.05221738963521803
AZN.L,2018-11-01,0.020980284378290543
BATS.L,2018-11-01,-0.21026078283354813
BP.L,2018-11-01,-0.08691233858412248
DGE.L,2018-11-01,0.04158207105022143
GSK.L,2018-11-01,0.07066100373005002
HSBA.L,2018-11-01,0.029638488752280746
LSEG.L,2018-11-01,-0.06758693673770401
NG.L,2018-11-01,0.004625419472089214
RIO.L,2018-11-01,-0.06644213882426822
SHEL.L,2018-11-01,-0.05344493897687723
ULVR.L,2018-11-01,0.02321006886481436
VOD.L,2018-11-01,0.13381546814373882
^FTSE,2018-11-01,-0.02096713531113181
AZN.L,2018-12-01,-0.040706047469180814
BATS.L,2018-12-01,-0.09511661947879235
BP.L,2018-12-01,-0.047353572997258425
DGE.L,2018-12-01,-0.010145148808046279
GSK.L,2018-12-01,-0.0838323943909329
HSBA.L,2018-12-01,-0.026542156508996002
LSEG.L,2018-12-01,0.007164888948341064
NG.L,2018-12-01,-0.08608403454214698
RIO.L,2018-12-01,0.04692866432830433
SHEL.L,2018-12-01,-0.026725086957819486
ULVR.L,2018-12-01,-0.03233065687411932
VOD.L,2018-12-01,-0.09975950892512436
^FTSE,2018-12-01,-0.03678479730694303
AZN.L,2019-01-01,-0.05981620828002315
BATS.L,2019-01-01,0.072134578687456
BP.L,2019-01-01,0.0475457301920955
DGE.L,2019-01-01,0.03739581493463412
GSK.L,2019-01-01,-0.009432375182454574
