symbol,date,return
HSBA.L,2015-01-27,-0.014617851575330904
LSEG.L,2015-01-27,-0.021858382730199685
NG.L,2015-01-27,0.00769720897485699
RIO.L,2015-01-27,-0.005208527134537048
SHEL.L,2015-01-27,-0.00931337589353587
ULVR.L,2015-01-27,-0.002076831424501513
VOD.L,2015-01-27,-0.00820423052016036
^FTSE,2015-01-27,-0.005971886115703815
AZN.L,2015-01-28,0.003907817524291257
BATS.L,2015-01-28,0.005972644699450988
BP.L,2015-01-28,-0.017515153080241104
DGE.L,2015-01-28,0.010246255075433811
GSK.L,2015-01-28,0.008388131448860858
HSBA.L,2015-01-28,3.2375665286558995e-4
LSEG.L,2015-01-28,0.013088423782491553
NG.L,2015-01-28,0.01311904443175289
RIO.L,2015-01-28,0.00762964805402675
SHEL.L,2015-01-28,-0.01726355582142386
ULVR.L,2015-01-28,0.003804683775943101
VOD.L,2015-01-28,0.002320722278256273
^FTSE,2015-01-28,0.0020971306952634497
AZN.L,2015-01-29,0.0037874435831781374
BATS.L,2015-01-29,0.004094050632153495
BP.L,2015-01-29,-0.018886479545499442
DGE.L,2015-01-29,0.03036992001297904
GSK.L,2015-01-29,-0.0026764924283468844
HSBA.L,2015-01-29,-1.618155529732983e-4
LSEG.L,2015-01-29,0.011261787687683777
NG.L,2015-01-29,-0.0041077877250836935
RIO.L,2015-01-29,-0.0029408056966813115
SHEL.L,2015-01-29,-0.0443885534879645
ULVR.L,2015-01-29,0.018806860576079474
VOD.L,2015-01-29,0.0016845098201473602
^FTSE,2015-01-29,-0.0022439498562591264
AZN.L,2015-01-30,-0.003892706170302308
BATS.L,2015-01-30,-0.01113209063705272
BP.L,2015-01-30,-9.417256971846247e-4
DGE.L,2015-01-30,-0.026300758678265018
GSK.L,2015-01-30,-0.01723314516449414
HSBA.L,2015-01-30,-0.013847694216304527
LSEG.L,2015-01-30,-0.01926344344877441
NG.L,2015-01-30,-0.01274579651186857
RIO.L,2015-01-30,0.013423115837092917
SHEL.L,2015-01-30,-0.02059878669719493
ULVR.L,2015-01-30,-0.0074806983707109125
VOD.L,2015-01-30,-0.013343339605798796
^FTSE,2015-01-30,-0.009026638770253744
AZN.L,2015-02-02,-0.012944519859329316
BATS.L,2015-02-02,0.00398996427799534
BP.L,2015-02-02,0.030739438967567007
DGE.L,2015-02-02,-0.01020424474990891
GSK.L,2015-02-02,-0.0044408305597700625
HSBA.L,2015-02-02,0.004583061136976033
LSEG.L,2015-02-02,-0.009772635703241337
NG.L,2015-02-02,-0.0016045123388775651
RIO.L,2015-02-02,0.01223260960823257
SHEL.L,2015-02-02,0.024958425082185057
ULVR.L,2015-02-02,-0.005475473048384314
VOD.L,2015-02-02,-0.002775800518396018
^FTSE,2015-02-02,0.004906926090519341
AZN.L,2015-02-03,-0.008687999820657027
BATS.L,2015-02-03,-0.0037234271305546353
BP.L,2015-02-03,0.02738040481099162
DGE.L,2015-02-03,-0.012383998176226058
GSK.L,2015-02-03,-0.005148532109747082
HSBA.L,2015-02-03,0.008293388383611988
LSEG.L,2015-02-03,0.017354700918440272
NG.L,2015-02-03,-0.004291933711453934
RIO.L,2015-02-03,0.038103023139921866
SHEL.L,2015-02-03,0.05225970503804304
ULVR.L,2015-02-03,-0.005506172527960501
VOD.L,2015-02-03,0.01295824750559504
^FTSE,2015-02-03,0.013065528560929223
AZN.L,2015-02-04,0.009968634094149517
BATS.L,2015-02-04,-0.004673832222554077
BP.L,2015-02-04,-0.010053480755741084
DGE.L,2015-02-04,-5.192794613608735e-4
GSK.L,2015-02-04,0.015705841127467157
HSBA.L,2015-02-04,-0.0030814805499343617
LSEG.L,2015-02-04,-4.199719338249123e-4
NG.L,2015-02-04,-0.007338562583573919
RIO.L,2015-02-04,-0.007341672980719419
SHEL.L,2015-02-04,-0.01060682216596767
ULVR.L,2015-02-04,-0.004842649043248591
VOD.L,2015-02-04,-0.0016899122839463148
^FTSE,2015-02-04,-0.0017186104894740368
AZN.L,2015-02-05,-0.03450479132962191
BATS.L,2015-02-05,-0.01252640362456959
BP.L,2015-02-05,0.010609104204784843
DGE.L,2015-02-05,-0.004425531261213274
GSK.L,2015-02-05,0.016462425787974903
HSBA.L,2015-02-05,-0.0035803918598929594
LSEG.L,2015-02-05,-0.008855016309078994
NG.L,2015-02-05,-0.006738422633224909
RIO.L,2015-02-05,0.008803337959785312
SHEL.L,2015-02-05,0.00554859937449755
ULVR.L,2015-02-05,-0.01705691369309185
VOD.L,2015-02-05,-0.023963488476073942
^FTSE,2015-02-05,8.596744474434416e-4
AZN.L,2015-02-06,-0.01378395652141278
BATS.L,2015-02-06,-0.016673875835336572
BP.L,2015-02-06,0.0011101171114161702
DGE.L,2015-02-06,-0.003921042020840964
GSK.L,2015-02-06,0.011265641124059516
HSBA.L,2015-02-06,0.011991686712754334
LSEG.L,2015-02-06,-0.0021198807737596278
NG.L,2015-02-06,-0.008432569124099808
RIO.L,2015-02-06,-0.017024326971685086
SHEL.L,2015-02-06,-0.0018461900702856
ULVR.L,2015-02-06,-0.011708058387688939
VOD.L,2015-02-06,0.0021632759970100428
^FTSE,2015-02-06,-0.0018222509365508448
AZN.L,2015-02-09,-1.1221729931942695e-4
BATS.L,2015-02-09,-0.006359618815983442
BP.L,2015-02-09,0.014322367139494713
DGE.L,2015-02-09,-0.006833042919740582
GSK.L,2015-02-09,0.005585901951619727
HSBA.L,2015-02-09,-0.01656675667707325
LSEG.L,2015-02-09,-0.009381570636829453
NG.L,2015-02-09,-0.021341188309254796
RIO.L,2015-02-09,0.021720380076384473
SHEL.L,2015-02-09,0.009881722454634817
ULVR.L,2015-02-09,7.133512243409903e-4
VOD.L,2015-02-09,-0.0112998156061009
